Substrate ID,SMILES,sasa_area,sasa_volume,disp_area,disp_volume,disp_p_int,disp_p_max,disp_p_min,ip,ea,homo,lumo,electrophilicity,nucleophilicity,electrofugality,nucleofugality,dipole_x,dipole_y,dipole_z,mass,radius,charge
11,O=C1C2=CC=CC=C2OC(C3=CC=CC=C3)=C1OC,449.2824644592454,697.947804743232,302.1587602499639,294.82647801506124,19.263282188610773,45.120764466903395,9.146316990459344,12.371600857544587,5.5329776994078275,-0.3716467689057504,-0.2849048142611972,1.232822108238725,-7.525600857544587,8.75842296578331,0.5458444088308972,0.5744603412516796,-0.639949852762464,0.8054822951305471,252.2646799999998,5.573205738357052,0.0
12,O=C1C2=C(O)C=C(O)C=C2OC(C3=CC=CC=C3)=C1,433.84865047039943,669.891003193759,280.89514409384844,274.253616420823,19.460067644702292,43.85405117079134,9.2822094536063,13.174671622898812,8.336144936524178,-0.41183595724528654,-0.4010586324298989,3.6086507815138384,-8.328671622898812,11.937322404412653,0.1185058449896604,2.9871832074416207,-0.14398987147589182,0.07003992523854019,253.2295599999999,5.6052938704619715,-1.0
13,O=C1OC2=CC(O)=C(OC)C=C2C=C1,360.92793799393013,533.7201962640244,228.21956845486193,213.2247535059102,17.82714964191625,43.84388084423331,8.262280871530841,13.041289828060679,5.260078191569153,-0.3896282090298997,-0.28913540579977487,1.1907081628171312,-8.195289828060679,9.385997990877808,0.776629971247979,-3.0232652599118417,0.9565796565319366,0.8716747373462286,192.1681199999999,4.650361085450581,0.0
14,O[C@H]1C2=CC=CC=C2O[C@H](C3=CC=CC=C3)[C@H]1O,434.92055757808964,679.7910342966701,299.984422104156,295.14064270616274,18.833316857122526,42.047658428056465,9.395887993942722,12.592138048913847,4.109302465451011,-0.38028180101689935,-0.22881413632175984,0.7239951759203328,-7.746138048913847,8.470133224834179,1.4606927104693224,0.08373879569775888,-0.3976590126618915,-0.2050680850289709,242.2698599999998,5.570526991111509,0.0
15,O=C1C2=CC=CC=C2O[C@H](C3=CC=CC=C3)[C@H]1O,427.4906198241877,663.0275705854252,289.0808143182977,282.8517652263207,19.095922320718596,40.87448995564009,9.34290167363614,12.951033691515024,5.361824170525269,-0.3981820528346445,-0.29521993334138075,1.2240930704303692,-8.105033691515024,9.329126761945389,0.7082688999051003,-0.33535627824139613,1.1034049847406777,-0.014311543150175188,240.2539799999998,5.539083282731528,0.0
16,O=C([O-])CC1=CNC2=C1C=CC=C2,350.10870881656285,516.5693559401285,224.89777031306684,207.70486980661485,17.79780050718974,42.36749102192931,9.284241785072524,12.80209543402078,7.598585024984785,-0.4102674547819431,-0.3784463587967976,2.7547710141491892,-7.95609543402078,10.710866448169968,0.00218598916440505,-2.850589646881518,-0.34283918960383364,1.747513109169296,174.17601999999988,3.8596126952287113,-1.0
17,O=C(C)NCCC1=CNC2=CC=C(C=C12)OC,466.110063346861,710.4392552540384,320.5863568728227,300.5300756513019,17.784759239939746,41.91582297708909,8.282060160257783,11.903062789455388,3.8592319067874006,-0.3542685808665261,-0.22990010315367157,0.5726201581797082,-7.057062789455388,7.629682947635097,1.5593882513923076,-1.2013410549061176,0.24614995792968508,0.6316634743430972,232.27833999999984,6.016005285186898,0.0
18,FC1=CC2=CC=CC=C2C=C1OC,351.9512951243092,519.6294713408568,223.25431797177828,209.51519778941423,17.690534515041755,45.262630803459274,8.167911197597258,12.901335773755624,4.617344919601763,-0.3814764469198663,-0.26520690587299195,0.924326990369881,-8.055335773755624,8.979662764125507,1.1529820707681182,-0.2763837983504098,-0.6280272746039224,1.0389520321442007,176.1869631999999,4.5861638440530905,0.0
19,O=C1C[C@@H](C2=CC=C(O)C=C2)OC3=C1C(O)=CC(O)=C3,460.84677788486556,717.794052675581,310.12040985310307,303.22593828245107,19.106380196321684,43.7488221269399,8.694055130394958,12.565684655730823,5.201710266223392,-0.38697917045200847,-0.2818121225936647,1.1069430666142954,-7.719684655730823,8.82662772234512,0.7512328003909037,1.7251947860079808,0.8625044893603803,0.4636010675122978,272.25278000000026,5.992055607845586,0.0
20,O=C1C=C(C)OC2=CC(OC)=C(C)C(OC)=C21,431.10023554968177,663.8925157504825,294.00697564025626,283.4755099560849,18.123685863574217,46.33599406662612,8.469062930464073,12.379305483616832,4.645954091383593,-0.371695735934407,-0.2619889891777218,0.8692333580034982,-7.533305483616832,8.402538841620329,1.0692792666199058,0.14082403616340677,-1.6896945185702612,1.2647407857458093,234.2478599999999,4.645983763242463,0.0
